Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
MIR2ADL-24-BL,Vanity,2G-ADLER,"*NRB* 24"" x 1-1/2"" x 28"" Adler mirror w/ beveled glass *2nd Gen*. Finish: Hale Blue. Coordinating vanities: Adler",840002555012,0.00000,1.00000,$197.55,$197.55,$439.00
MIR2ADL-24-GN,Vanity,2G-ADLER,"*NRB* 24"" x 1-1/2"" x 28"" Adler mirror w/ beveled glass *2nd Gen*. Finish: Forest Green. Coordinating vanities: Forest Green finish",840002555029,0.00000,1.00000,$197.55,$197.55,$439.00
MIR2AST-22-ES,Vanity,2G-ASTORIA,"*NRB* 22"" x 1-1/4"" x 34"" Astoria mirror with beveled glass *2nd Gen*. Finish: Espresso. Coordinating vanities: Astoria",840002555050,0.00000,1.00000,$175.95,$175.95,$391.00
MIR2AST-28-ES,Vanity,2G-ASTORIA,"*NRB* 28"" x 1-1/4"" x 34"" Astoria mirror with beveled glass *2nd Gen*. Finish: Espresso. Coordinating vanities: Astoria",840002555081,0.00000,1.00000,$200.70,$200.70,$446.00
MIR2CAD-16-BL,Vanity,2G-CADE,"16"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Hale Blue. Coordinating vanities: 18"" vanities",196734021319,0.00000,1.00000,$110.25,$110.25,$245.00
MIR2CAD-16-GR,Vanity,2G-CADE,"16"" x 1"" x 27-15/16"" Cade mirror with beveled glass *2nd Gen*. Finish: Grey. Coordinating vanities: 18"" Cade",840002555111,0.00000,1.00000,$110.25,$110.25,$245.00
MIR2CAD-16-WH,Vanity,2G-CADE,"16"" x 1"" x 27-15/16"" Cade mirror with beveled glass *2nd Gen*. Finish: White. Coordinating vanities: 18"" Cade",840002555128,0.00000,1.00000,$110.25,$110.25,$245.00
MIR2CAD-22-BK,Vanity,2G-CADE,"22"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Black. Coordinating vanities: Cade and Wavecrest",840002555135,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-22-BL,Vanity,2G-CADE,"22"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Hale Blue. Coordinating vanities: Cade and Wavecrest",840002518598,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-22-BS,Vanity,2G-CADE,"22"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Blue Steel. Coordinating vanities: Collections featuring Blue Steel finish",840002597524,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-22-DW,Vanity,2G-CADE,"22"" x 1"" x 28"" Cade mirror with beveled glass. *2nd Gen*. Finish: Dark Walnut. Coordinating vanities: Collections featuring Dark Walnut finish or coordinating vanities smaller than 30"" or 2x per 60"" double vanity",196734013949,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-22-GN,Vanity,2G-CADE,"22"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Forest Green. Coordinating vanities: Cade and Wavecrest",840002547086,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-22-GR,Vanity,2G-CADE,"22"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish:  Grey. Coordinating vanities: Cade and Wavecrest",840002555142,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-22-NO,Vanity,2G-CADE,"22"" x 1"" x 28"" Cade mirror with beveled glass. *2nd Gen*. Finish: Natural Oak Coordinating vanities: Collections featuring Natural Oak finish or coordinating vanities smaller than 30"" or 2x per 60"" double vanity",196734013956,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-22-WG,Vanity,2G-CADE,"22"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Weathered Grey. Coordinating vanities: Collections featuring Weathered Grey finish",840002558198,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-22-WH,Vanity,2G-CADE,"*NRB* 22"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: White. Coordinating vanities: Cade and Wavecrest",840002555159,0.00000,1.00000,$140.40,$140.40,$312.00
MIR2CAD-24-BK,Vanity,2G-CADE,"24"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Black. Coordinating vanities: Cade and Wavecrest",840002555166,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-24-BL,Vanity,2G-CADE,"*NRB* 24"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Hale Blue. Coordinating vanities: Cade and Wavecrest",840002560160,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-24-BS,Vanity,2G-CADE,"24"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Blue Steel. Coordinating vanities: Collections featuring Blue Steel finish",840002597517,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-24-DW,Vanity,2G-CADE,"24"" x 1"" x 28"" Cade mirror with beveled glass. *2nd Gen*. Finish: Dark Walnut. Coordinating vanities: Collections featuring Dark Walnut finish or coordinating vanities smaller than 36""",196734013963,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-24-GN,Vanity,2G-CADE,"24"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Forest Green. Coordinating vanities: Cade and Wavecrest",840002560177,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-24-GR,Vanity,2G-CADE,"24"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Grey. Coordinating vanities: Cade and Wavecrest",840002555173,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-24-NO,Vanity,2G-CADE,"24"" x 1"" x 28"" Cade mirror with beveled glass. *2nd Gen*. Finish: Natural Oak Coordinating vanities: Collections featuring Natural Oak finish or coordinating vanities smaller than 36""",196734013970,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-24-WG,Vanity,2G-CADE,"24"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Weathered Grey. Coordinating vanities: Collections featuring Weathered Grey finish",840002558839,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-24-WH,Vanity,2G-CADE,"24"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: White. Coordinating vanities: Cade and Wavecrest",840002555180,0.00000,1.00000,$153.45,$153.45,$341.00
MIR2CAD-33-BK,Vanity,2G-CADE,"33"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Black. Coordinating vanities: Cade and Wavecrest",840002555197,0.00000,1.00000,$178.20,$178.20,$396.00
MIR2CAD-33-BL,Vanity,2G-CADE,"33"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Hale Blue Coordinating vanities: Cade and Wavecrest",840002555203,0.00000,1.00000,$178.20,$178.20,$396.00
MIR2CAD-33-BS,Vanity,2G-CADE,"33"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Blue Steel. Coordinating vanities: Collections featuring Blue Steel finish",840002597531,0.00000,1.00000,$178.20,$178.20,$396.00
MIR2CAD-33-DW,Vanity,2G-CADE,"*NRB* 33"" x 1"" x 28"" Cade mirror with beveled glass. *2nd Gen*. Finish: Dark Walnut. Coordinating vanities: Collections featuring Dark Walnut finish or coordinating vanities larger than 30""",196734013987,0.00000,1.00000,$178.20,$178.20,$396.00
MIR2CAD-33-GN,Vanity,2G-CADE,"33"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Forest Green. Coordinating vanities: Cade and Wavecrest",840002555210,0.00000,1.00000,$178.20,$178.20,$396.00
MIR2CAD-33-GR,Vanity,2G-CADE,"33"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Grey. Coordinating vanities: Cade and Wavecrest",840002555227,0.00000,1.00000,$178.20,$178.20,$396.00
MIR2CAD-33-NO,Vanity,2G-CADE,"33"" x 1"" x 28"" Cade mirror with beveled glass. *2nd Gen*. Finish: Natural Oak Coordinating vanities: Collections featuring Natural Oak finish or coordinating vanities larger than 30""",196734013994,0.00000,1.00000,$178.20,$178.20,$396.00
MIR2CAD-33-WG,Vanity,2G-CADE,"33"" x 1"" x 28"" Cade mirror with beveled glass *2nd Gen*. Finish: Weathered Grey. Coordinating vanities: Collections featuring Weathered Grey finish",840002559140,0.00000,1.00000,$178.20,$178.20,$396.00
